track_id,agency,sub_agency,artist_name_en,track_name,release_date,track_type,youtube_video_id,artwork_url,selection_reason,status,platforms,first_seen,last_seen
trk_1b3154ab5197,OTHER,Starship Entertainment,IVE,BLACKHOLE,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-08-07
trk_e97f002a11a5,OTHER,Starship Entertainment,IVE,Be Alright,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-08-07
trk_a6bcdf44c58b,OTHER,Starship Entertainment,IVE,LUCID DREAM,,chart,MBXc7SHt4Oo,,chart:spaceshower|youtube,active,spaceshower|youtube,2026-07-17,2026-08-07
trk_48adb02ce6fa,OTHER,Starship Entertainment,KiiiKiii,404 (New Era),,chart,3_l-UI4prVY,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/1b/43/f5/1b43f5d0-0a3b-d1e1-bc0a-e572e92e0455/199806885123.jpg/300x300bb.jpg,chart:apple|youtube,active,apple|youtube,2026-07-26,2026-08-06
trk_64633460d9f3,OTHER,RBW,ONEUS,Under,,chart,Xd6zb7aLfZg,,chart:spaceshower|youtube,active,spaceshower|youtube,2026-07-31,2026-08-07
trk_85367b3fa952,OTHER,VLAST,PLAVE,Born Savage,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-08-07
trk_5b92e5e30ce8,OTHER,THE MUZE Entertainment,RESCENE,Deja Vu,,chart,kalnsqjQD0Y,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/e3/4e/e4/e34ee4d9-47a3-8b51-b6cc-4d991508f0b5/cover_KM0023041_1.jpg/300x300bb.jpg,chart:apple|youtube,active,apple|youtube,2026-07-26,2026-08-06
trk_d563686936bf,OTHER,THE MUZE Entertainment,RESCENE,LOVE ATTACK,,chart,,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/43/0b/4c/430b4c8e-3cb8-da27-648f-435ec3b391a6/8804775334160.jpg/300x300bb.jpg,chart:apple,active,apple,2026-07-26,2026-08-06
trk_a3a47d09e88b,OTHER,THE MUZE Entertainment,RESCENE,Pinball,,chart,,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/43/0b/4c/430b4c8e-3cb8-da27-648f-435ec3b391a6/8804775334160.jpg/300x300bb.jpg,chart:apple,active,apple,2026-07-26,2026-08-06
trk_c8e7de4fc5c8,OTHER,THE MUZE Entertainment,RESCENE,Pretty Girl,,chart,bd42NE8dFDI,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/44/70/65/44706599-2480-efab-7cfe-564b5e254b25/888272184075_Cover.jpg/300x300bb.jpg,chart:apple|youtube,active,apple|youtube,2026-07-26,2026-08-06
trk_dea76cfdb6b3,OTHER,THE MUZE Entertainment,RESCENE,Runaway,,chart,,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/6c/94/62/6c946232-183b-9e28-01c8-d630b41ca3a8/888272179019_Cover.jpg/300x300bb.jpg,chart:apple,active,apple,2026-07-26,2026-08-06
trk_836bb64662cb,OTHER,Yuehua Entertainment,YENA,0+0,,chart,,,chart:apple,active,apple,2026-07-26,2026-08-06
trk_d3a06b3f61c7,OTHER,Yuehua Entertainment,YENA,And July (feat. DEAN & dj friz),,chart,,,chart:apple,active,apple,2026-07-26,2026-08-06
trk_2233c657706c,OTHER,Yuehua Entertainment,YENA,Antifreeze,,chart,,,chart:apple,active,apple,2026-07-26,2026-08-06
trk_b5d2ba96ea64,OTHER,Yuehua Entertainment,YENA,Automatic (Remastered 2014),,chart,,,chart:apple,active,apple,2026-07-26,2026-08-06
trk_91ee149013f1,OTHER,Yuehua Entertainment,YENA,Catch Catch,,chart,hyjqzvG2WEg,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj03cW11Y3YzOWt1NG9yJnM9anA2JnQ9bSZ1PTFrM3Yzc3ZvMDQ2MDAmaT0w/m470x470,chart:line|youtube,active,line|youtube,2026-07-26,2026-08-05
trk_0e3c15f60cc1,OTHER,Yuehua Entertainment,YENA,EVERYTHING,,chart,,,chart:apple,active,apple,2026-07-26,2026-08-06
trk_0e5b05fda3f3,OTHER,Yuehua Entertainment,YENA,Five,,chart,,,chart:apple,active,apple,2026-07-26,2026-08-06
trk_19f18125318f,OTHER,Yuehua Entertainment,YENA,Flying High With U,,chart,,,chart:apple,active,apple,2026-07-26,2026-08-06
trk_87c976a6f3db,OTHER,Yuehua Entertainment,YENA,Happiness,,chart,,,chart:apple,active,apple,2026-07-26,2026-07-29
trk_8175d6f5e3ba,OTHER,Yuehua Entertainment,YENA,IRIS OUT,,chart,,,chart:apple,active,apple,2026-07-26,2026-08-06
trk_86204fdaa47f,OTHER,Yuehua Entertainment,YENA,It's You (feat. NO:EL),,chart,,,chart:apple,active,apple,2026-07-26,2026-08-06
trk_bffe8963852d,OTHER,Yuehua Entertainment,YENA,JANE DOE,,chart,,,chart:apple,active,apple,2026-07-26,2026-08-06
trk_2d12517a1f30,OTHER,Yuehua Entertainment,YENA,LOV3 (feat. Bryan Chase & Okasian),,chart,,,chart:apple,active,apple,2026-07-26,2026-08-06
trk_32f130ac98f8,OTHER,Yuehua Entertainment,YENA,Lemon,,chart,nCngHAkOZJc,,chart:apple|youtube,active,apple|youtube,2026-07-26,2026-08-06
trk_670e32e8c94b,OTHER,Yuehua Entertainment,YENA,Less than a Lover,,chart,,,chart:apple,active,apple,2026-07-26,2026-08-06
